;fecha;hr_00;hr_06;hr_12;hr_18
1891;2005-03-06;57,76;69,82;76,03;61,10
1892;2005-03-07;92,08;79,86;89,10;91,19
1893;2005-03-08;85,01;81,33;78,34;82,53
1894;2005-03-09;55,96;65,43;66,79;61,74
1895;2005-03-10;62,91;74,03;74,59;68,00
1896;2005-03-11;68,01;82,18;79,50;72,60
1897;2005-03-12;80,53;82,17;80,53;79,81
1898;2005-03-13;87,49;86,39;88,85;88,53
1899;2005-03-14;68,49;80,13;81,32;73,01
1900;2005-03-15;70,93;74,59;76,13;72,60
1901;2005-03-16;75,33;84,30;84,43;78,94
1902;2005-03-17;76,32;85,86;84,44;81,21
1903;2005-03-18;83,94;82,83;79,15;82,45
1904;2005-03-19;59,67;75,70;72,48;65,31
1905;2005-03-20;71,46;75,00;74,04;78,10
1906;2005-03-21;73,30;80,24;85,62;76,96
1907;2005-03-22;65,29;72,97;75,80;72,42
1908;2005-03-23;74,75;82,50;80,23;76,81
1909;2005-03-24;80,42;85,46;85,52;83,83
1910;2005-03-25;83,67;88,09;88,33;85,82
1911;2005-03-26;77,54;83,95;83,29;81,40
1912;2005-03-27;79,64;80,76;85,15;82,80
1913;2005-03-28;88,35;85,94;89,19;85,75
1914;2005-03-29;85,02;79,61;83,04;82,55
1915;2005-03-30;68,44;70,80;69,76;68,85
1916;2005-03-31;73,28;;78,99;77,64
1917;2005-04-01;88,69;79,60;82,79;80,14
1918;2005-04-02;71,71;74,59;76,54;73,94
1919;2005-04-03;72,10;80,13;79,92;75,58
1920;2005-04-04;70,79;78,38;79,07;73,66
1921;2005-04-05;71,83;76,15;76,80;73,58
1922;2005-04-06;79,86;79,61;84,07;80,80
1923;2005-04-07;70,50;75,64;75,16;72,31
1924;2005-04-08;56,22;63,15;62,09;60,48
1925;2005-04-09;60,31;74,36;74,54;62,00
1926;2005-04-10;87,29;86,70;87,21;86,59
1927;2005-04-11;73,01;79,65;78,01;73,76
1928;2005-04-12;63,60;67,79;66,76;65,10
1929;2005-04-13;79,03;75,45;78,30;77,94
1930;2005-04-14;94,00;89,43;92,87;94,99
1931;2005-04-15;85,51;87,25;87,12;86,95
1932;2005-04-16;72,50;86,43;83,86;77,13
1933;2005-04-17;88,27;89,46;90,91;88,77
1934;2005-04-18;90,41;93,59;91,75;91,20
1935;2005-04-19;74,52;82,60;80,42;78,35
1936;2005-04-20;69,16;72,13;73,22;70,89
1937;2005-04-21;72,37;76,26;77,24;75,19
1938;2005-04-22;81,95;84,81;86,06;83,32
1939;2005-04-23;79,03;87,48;88,17;83,18
1940;2005-04-24;69,93;70,12;71,50;70,69
1941;2005-04-25;71,62;71,05;73,82;72,51
1942;2005-04-26;65,90;74,36;73,72;69,43
1943;2005-04-27;78,05;82,21;82,25;79,51
1944;2005-04-28;84,64;87,83;88,06;86,85
1945;2005-04-29;76,36;80,80;81,21;79,33
1946;2005-04-30;71,47;81,12;80,31;73,48
1947;2005-05-01;;80,16;80,33;77,68
1948;2005-05-02;;;;
1949;2005-05-03;;;;
1950;2005-05-04;;;;
1951;2005-05-05;;;;
1952;2005-05-06;;;;
1953;2005-05-07;;;;
1954;2005-05-08;;;;
1955;2005-05-09;;;;
1956;2005-05-10;;;;
1957;2005-05-11;;;;
1958;2005-05-12;;;;
1959;2005-05-13;;;;
1960;2005-05-14;;;;
1961;2005-05-15;;;;
1962;2005-05-16;;;;
1963;2005-05-17;;;;
1964;2005-05-18;;;;
1965;2005-05-19;;;;
1966;2005-05-20;;;;
1967;2005-05-21;;;;
1968;2005-05-22;;;;
1969;2005-05-23;;;;
1970;2005-05-24;;;;
1971;2005-05-25;;;;
1972;2005-05-26;;;;
1973;2005-05-27;;;;
1974;2005-05-28;;;;
1975;2005-05-29;;;;
1976;2005-05-30;;;;
1977;2005-05-31;;;;
1978;2005-06-01;;;;
1979;2005-06-02;;;;
1980;2005-06-03;;;;
1981;2005-06-04;;;;
1982;2005-06-05;;;;
1983;2005-06-06;;;;
1984;2005-06-07;;;;
1985;2005-06-08;;;;
1986;2005-06-09;;;;
1987;2005-06-10;;;;
1988;2005-06-11;;;;
1989;2005-06-12;;;;
1990;2005-06-13;;;;
1991;2005-06-14;;;;
1992;2005-06-15;;;;
1993;2005-06-16;;;;
1994;2005-06-17;;;;
1995;2005-06-18;;;;
1996;2005-06-19;;;;
1997;2005-06-20;;;;
1998;2005-06-21;;;;
1999;2005-06-22;;;;
2000;2005-06-23;;;;
2001;2005-06-24;;;;
2002;2005-06-25;;;;
2003;2005-06-26;;;;
2004;2005-06-27;;;;
2005;2005-06-28;;;;
2006;2005-06-29;;;;
2007;2005-06-30;;;;
2008;2005-07-01;96,05;;;
2009;2005-07-02;90,88;89,09;91,16;92,44
2010;2005-07-03;61,24;65,01;63,57;61,88
2011;2005-07-04;64,45;69,00;64,35;63,68
2012;2005-07-05;61,15;68,87;64,97;56,32
2013;2005-07-06;71,14;68,76;67,78;68,69
2014;2005-07-07;73,27;74,55;74,28;73,79
2015;2005-07-08;82,39;82,86;83,81;84,38
2016;2005-07-09;88,64;85,74;87,42;87,77
2017;2005-07-10;84,57;84,43;85,20;84,17
2018;2005-07-11;86,04;87,78;86,55;88,16
2019;2005-07-12;88,88;90,85;89,86;90,04
2020;2005-07-13;82,95;87,94;87,40;85,13
2021;2005-07-14;90,70;89,70;92,34;92,54
2022;2005-07-15;86,82;83,19;90,06;86,94
2023;2005-07-16;63,50;72,72;63,63;63,74
2024;2005-07-17;64,67;67,65;65,56;65,39
2025;2005-07-18;72,54;66,99;70,25;72,00
2026;2005-07-19;67,19;71,63;74,20;69,81
2027;2005-07-20;71,82;74,20;74,68;73,63
2028;2005-07-21;89,37;85,34;88,49;88,56
2029;2005-07-22;73,94;74,04;78,18;79,14
2030;2005-07-23;89,10;86,16;89,77;90,32
2031;2005-07-24;85,94;92,10;90,89;90,79
2032;2005-07-25;76,98;74,22;77,17;79,43
2033;2005-07-26;84,70;84,53;84,43;84,11
2034;2005-07-27;87,03;89,17;89,34;87,25
2035;2005-07-28;91,33;90,23;90,69;90,08
2036;2005-07-29;89,91;90,84;90,38;90,25
2037;2005-07-30;92,57;93,69;93,28;92,19
2038;2005-07-31;61,23;84,50;72,58;66,91
2039;2005-08-01;75,61;78,89;77,45;74,51
2040;2005-08-02;78,13;88,04;87,34;84,20
2041;2005-08-03;69,44;77,48;75,57;70,06
2042;2005-08-04;59,72;68,09;73,36;62,85
2043;2005-08-05;81,58;87,92;84,68;84,84
2044;2005-08-06;56,10;63,75;58,53;58,13
2045;2005-08-07;54,52;57,21;55,83;56,00
2046;2005-08-08;75,86;76,47;74,99;74,09
2047;2005-08-09;76,70;79,18;76,61;76,80
2048;2005-08-10;68,49;71,15;69,88;69,79
2049;2005-08-11;75,62;77,20;77,94;77,30
2050;2005-08-12;73,91;78,12;78,40;75,06
2051;2005-08-13;79,96;79,28;80,82;82,59
2052;2005-08-14;79,14;77,80;79,96;80,21
2053;2005-08-15;70,52;67,59;69,14;69,73
2054;2005-08-16;84,54;89,29;89,63;84,90
2055;2005-08-17;69,66;73,63;72,90;73,94
2056;2005-08-18;69,90;80,17;78,99;74,93
2057;2005-08-19;77,06;81,16;81,40;79,00
2058;2005-08-20;81,65;80,75;81,48;82,04
2059;2005-08-21;91,58;87,78;89,77;93,01
2060;2005-08-22;91,77;91,32;95,53;95,16
2061;2005-08-23;91,91;91,74;94,13;90,46
2062;2005-08-24;76,95;78,44;80,61;81,04
2063;2005-08-25;68,58;74,71;72,75;70,66
2064;2005-08-26;73,18;76,72;78,40;74,48
2065;2005-08-27;74,00;73,82;73,39;73,44
2066;2005-08-28;63,19;77,47;64,17;71,44
2067;2005-08-29;81,00;75,12;82,02;82,65
2068;2005-08-30;67,42;;70,75;68,01
2069;2005-08-31;70,25;69,94;72,80;72,80
2070;2005-09-01;74,44;74,56;74,83;79,41
2071;2005-09-02;79,55;82,96;84,67;82,15
2072;2005-09-03;87,31;81,01;83,99;86,80
2073;2005-09-04;83,45;85,02;82,72;83,15
2074;2005-09-05;74,08;81,67;82,88;79,28
2075;2005-09-06;59,37;69,58;67,53;66,70
2076;2005-09-07;65,32;72,63;71,64;68,78
2077;2005-09-08;65,49;70,66;69,82;66,82
2078;2005-09-09;74,25;70,52;74,03;71,88
2079;2005-09-10;72,17;81,69;80,80;76,75
2080;2005-09-11;57,60;57,45;55,59;57,24
2081;2005-09-12;51,78;66,63;60,22;54,80
2082;2005-09-13;60,18;67,65;67,67;63,94
2083;2005-09-14;67,75;72,35;68,72;68,97
2084;2005-09-15;71,37;72,06;73,89;70,83
2085;2005-09-16;63,08;65,10;66,82;64,25
2086;2005-09-17;67,26;73,33;69,77;71,46
2087;2005-09-18;75,99;79,43;76,55;78,17
2088;2005-09-19;82,56;82,69;83,83;84,16
2089;2005-09-20;84,76;86,06;85,28;85,22
2090;2005-09-21;84,04;84,53;86,32;86,68
2091;2005-09-22;84,85;83,44;82,05;85,36
2092;2005-09-23;90,57;91,26;90,18;89,46
2093;2005-09-24;72,09;73,37;70,78;70,43
2094;2005-09-25;58,59;67,40;68,86;63,83
2095;2005-09-26;58,15;65,20;65,27;60,17
2096;2005-09-27;60,63;64,01;63,61;61,72
2097;2005-09-28;68,24;72,24;73,87;70,89
2098;2005-09-29;88,18;93,58;94,47;91,73
2099;2005-09-30;64,78;72,68;63,46;64,09
2100;2005-10-01;53,49;61,01;60,07;55,00
2101;2005-10-02;70,72;68,10;67,84;66,71
2102;2005-10-03;95,12;93,10;92,21;94,04
2103;2005-10-04;79,41;83,41;78,82;78,76
2104;2005-10-05;67,91;74,84;74,97;73,46
2105;2005-10-06;58,67;69,42;70,95;64,29
2106;2005-10-07;65,84;71,72;70,78;67,49
2107;2005-10-08;61,85;69,87;69,06;68,48
2108;2005-10-09;57,45;64,48;65,22;62,72
2109;2005-10-10;65,48;66,95;67,73;66,78
2110;2005-10-11;63,69;69,63;70,30;66,19
2111;2005-10-12;56,88;60,98;59,31;57,61
2112;2005-10-13;47,99;59,97;54,60;48,87
2113;2005-10-14;51,15;59,03;57,43;55,11
2114;2005-10-15;55,48;59,45;62,10;55,09
2115;2005-10-16;60,42;65,16;68,58;64,33
2116;2005-10-17;;68,65;74,18;70,05
2117;2005-10-18;53,82;;;
2118;2005-10-19;50,45;60,97;59,65;55,94
2119;2005-10-20;45,91;54,35;52,76;48,45
2120;2005-10-21;64,81;72,09;68,97;64,74
2121;2005-10-22;57,06;78,84;74,15;60,56
2122;2005-10-23;52,37;58,67;60,61;58,55
2123;2005-10-24;87,15;85,28;88,66;88,30
2124;2005-10-25;85,00;83,34;84,88;81,67
2125;2005-10-26;70,11;78,70;76,55;74,00
2126;2005-10-27;;75,62;75,83;82,03
2127;2005-10-28;62,16;;;
2128;2005-10-29;62,00;68,61;66,31;64,50
2129;2005-10-30;66,90;65,08;72,49;73,57
2130;2005-10-31;;66,75;67,37;64,54
2131;2005-11-01;60,02;;;
2132;2005-11-02;51,16;55,86;57,07;53,31
2133;2005-11-03;53,44;60,00;58,74;56,15
2134;2005-11-04;68,93;76,84;74,15;70,26
2135;2005-11-05;44,57;58,50;58,88;54,84
2136;2005-11-06;55,20;56,37;57,03;58,58
2137;2005-11-07;55,62;66,97;65,65;58,12
2138;2005-11-08;56,16;64,61;64,62;60,29
2139;2005-11-09;54,27;58,74;59,42;56,03
2140;2005-11-10;53,79;57,89;58,12;55,11
2141;2005-11-11;58,62;64,11;64,12;60,86
2142;2005-11-12;59,00;66,20;65,80;62,80
2143;2005-11-13;61,58;73,43;75,96;63,98
2144;2005-11-14;69,81;86,12;90,41;75,98
2145;2005-11-15;67,37;72,76;75,72;67,90
2146;2005-11-16;42,14;54,19;55,67;48,17
2147;2005-11-17;63,93;69,27;67,85;67,92
2148;2005-11-18;61,49;65,87;67,60;65,54
2149;2005-11-19;46,94;69,14;59,90;52,82
2150;2005-11-20;46,65;57,05;57,16;51,23
2151;2005-11-21;51,06;62,84;64,36;55,54
2152;2005-11-22;46,04;64,61;60,37;51,20
2153;2005-11-23;65,56;68,84;69,57;67,55
2154;2005-11-24;45,98;44,20;46,43;47,03
2155;2005-11-25;47,92;58,80;59,62;54,11
2156;2005-11-26;41,53;54,14;53,72;48,16
2157;2005-11-27;41,50;47,43;47,42;42,67
2158;2005-11-28;63,40;62,96;73,41;66,67
2159;2005-11-29;95,48;89,47;96,28;96,69
2160;2005-11-30;;79,99;77,76;75,05
2161;2005-12-01;52,54;;;
2162;2005-12-02;49,31;54,42;53,36;48,75
2163;2005-12-03;72,16;68,82;74,65;71,72
2164;2005-12-04;71,78;77,97;74,84;72,00
2165;2005-12-05;50,30;56,24;60,96;57,21
2166;2005-12-06;45,15;62,81;63,34;55,71
2167;2005-12-07;47,52;65,29;62,16;56,03
2168;2005-12-08;61,12;73,97;80,13;73,28
2169;2005-12-09;55,07;58,55;56,43;57,96
2170;2005-12-10;52,06;53,48;55,90;55,30
2171;2005-12-11;48,69;61,09;60,28;53,74
2172;2005-12-12;46,63;55,89;57,67;51,95
2173;2005-12-13;56,26;62,99;62,49;59,40
