;fecha;prate_00;prate_06;prate_12;prate_18
2850;2007-10-21;2,51;0,32;2,22;0,32
2851;2007-10-22;0,00;0,00;0,00;0,00
2852;2007-10-23;0,00;0,00;0,00;0,00
2853;2007-10-24;0,00;0,00;0,00;0,00
2854;2007-10-25;0,00;0,00;0,00;0,00
2855;2007-10-26;4,36;2,79;4,77;6,67
2856;2007-10-27;0,02;0,65;4,64;3,48
2857;2007-10-28;0,00;0,00;0,00;0,00
2858;2007-10-29;0,04;0,02;0,00;0,02
2859;2007-10-30;0,02;0,00;0,04;0,00
2860;2007-10-31;0,19;5,01;5,46;0,78
2861;2007-11-01;26,91;21,30;18,08;23,57
2862;2007-11-02;0,00;0,00;0,00;0,00
2863;2007-11-03;0,00;0,00;0,32;0,00
2864;2007-11-04;0,86;0,52;0,00;0,06
2865;2007-11-05;0,00;0,00;0,00;0,00
2866;2007-11-06;0,00;0,00;0,00;0,00
2867;2007-11-07;0,02;0,48;0,02;0,02
2868;2007-11-08;1,81;1,10;3,91;3,05
2869;2007-11-09;1,47;9,27;3,07;3,52
2870;2007-11-10;0,71;1,23;9,91;0,15
2871;2007-11-11;0,65;0,22;0,43;0,43
2872;2007-11-12;0,00;0,00;0,00;0,00
2873;2007-11-13;0,17;0,95;0,19;0,93
2874;2007-11-14;20,33;14,08;19,53;16,96
2875;2007-11-15;0,00;0,13;0,00;0,00
2876;2007-11-16;0,00;0,00;0,00;0,00
2877;2007-11-17;0,00;0,00;0,00;0,00
2878;2007-11-18;3,20;5,53;3,30;3,46
2879;2007-11-19;0,04;0,00;0,06;0,02
2880;2007-11-20;0,00;0,00;0,00;0,00
2881;2007-11-21;0,00;0,00;0,00;0,00
2882;2007-11-22;0,00;0,00;0,00;0,00
2883;2007-11-23;15,77;10,50;16,07;17,97
2884;2007-11-24;0,00;0,02;0,06;0,00
2885;2007-11-25;0,00;0,00;0,00;0,00
